"","index","n","sigma","angle","penalty","nbSeg_outlier","nbSeg_std","MSE_outlier","MSE_std"
"1",1,500,24,130,0.1,63,323,81.2318820304994,491.513148149903
"2",2,500,24,130,0.1,62,337,80.7728410221412,518.726046298433
"3",3,500,24,130,0.1,58,324,69.9435943165935,531.687877803978
"4",4,500,24,130,0.1,40,306,38.2450330331952,419.009973503706
"5",5,500,24,130,0.1,39,308,38.295282363604,450.123881566916
"6",1,500,24,130,0.311111111111111,19,105,33.7232158672401,285.285200660425
"7",2,500,24,130,0.311111111111111,23,99,84.0663539676539,282.224031245626
"8",3,500,24,130,0.311111111111111,18,100,37.7452055038037,236.03099402585
"9",4,500,24,130,0.311111111111111,6,105,10.53761363347,248.048349937291
"10",5,500,24,130,0.311111111111111,8,78,17.3426245981626,194.285097254464
"11",1,500,24,130,0.522222222222222,10,57,28.5003067401404,168.768607471627
"12",2,500,24,130,0.522222222222222,8,19,27.2067772065397,41.1556653094008
"13",3,500,24,130,0.522222222222222,7,58,19.6026366149124,200.803023103186
"14",4,500,24,130,0.522222222222222,4,33,5.83381965590675,106.51375334418
"15",5,500,24,130,0.522222222222222,5,29,7.9958835762565,90.8915586380432
"16",1,500,24,130,0.733333333333333,7,28,34.9173717601217,78.092995071442
"17",2,500,24,130,0.733333333333333,4,15,7.87855078983005,49.0593081310426
"18",3,500,24,130,0.733333333333333,4,18,1.52686905633977,45.0010337561103
"19",4,500,24,130,0.733333333333333,4,11,5.80704018532606,35.7421239222633
"20",5,500,24,130,0.733333333333333,4,25,10.0291094731564,85.1367560495966
"21",1,500,24,130,0.944444444444444,4,13,7.22969666013834,51.9720353673278
"22",2,500,24,130,0.944444444444444,8,13,27.4824655950604,28.8357599037552
"23",3,500,24,130,0.944444444444444,7,25,33.1157939507888,113.660498096159
"24",4,500,24,130,0.944444444444444,4,10,19.7844247256917,26.6958782027407
"25",5,500,24,130,0.944444444444444,4,16,19.5573847223008,65.1830363429025
"26",1,500,24,130,1.15555555555556,4,11,6.3074385732782,41.797289301548
"27",2,500,24,130,1.15555555555556,4,6,4.67983994022291,19.0650175437942
"28",3,500,24,130,1.15555555555556,4,11,5.68103833355897,41.4153022253721
"29",4,500,24,130,1.15555555555556,4,12,18.2339560011759,51.2501467267789
"30",5,500,24,130,1.15555555555556,6,15,22.9475893249927,36.544313294308
"31",1,500,24,130,1.36666666666667,4,4,6.04990935312638,6.04990935312638
"32",2,500,24,130,1.36666666666667,4,10,22.3621386492105,51.4252058116244
"33",3,500,24,130,1.36666666666667,4,4,5.66612603370288,5.66612603370288
"34",4,500,24,130,1.36666666666667,4,4,3.25972748973971,3.25972748973971
"35",5,500,24,130,1.36666666666667,4,7,4.58835527709644,17.9167871927548
"36",1,500,24,130,1.57777777777778,4,6,20.1770297077423,23.5264008389508
"37",2,500,24,130,1.57777777777778,4,7,10.3976411088066,10.6822873286414
"38",3,500,24,130,1.57777777777778,4,7,6.49305686443666,26.4004480090318
"39",4,500,24,130,1.57777777777778,4,4,4.7570083281701,4.7570083281701
"40",5,500,24,130,1.57777777777778,6,10,27.3747096352767,31.5206793799574
"41",1,500,24,130,1.78888888888889,4,4,14.4337195912696,14.4337195912696
"42",2,500,24,130,1.78888888888889,4,10,8.9246916780899,25.7086706153904
"43",3,500,24,130,1.78888888888889,4,6,6.75278205787079,27.1175038578847
"44",4,500,24,130,1.78888888888889,4,4,15.8072741231604,15.8072741231604
"45",5,500,24,130,1.78888888888889,4,4,5.9317659184775,5.9317659184775
"46",1,500,24,130,2,4,4,4.23644654283864,4.23644654283864
"47",2,500,24,130,2,4,8,12.1298235010952,30.8881595315984
"48",3,500,24,130,2,4,7,5.16071577074702,23.6573803709671
"49",4,500,24,130,2,4,6,8.70006733302951,16.85869792633
"50",5,500,24,130,2,4,4,10.6147133185824,10.6147133185824
